datetime,Mag1Field,Latitude,Longitude,Height_m,X_nT,Y_nT,Z_nT,Mag_Anomaly
2025-06-07 11:45:11.200,60240.926,51.70063888888889,9.207938888888888,664.741,1328,1513,1094,-164.22439423860487
2025-06-07 11:45:11.300,60240.644,51.70063888888889,9.207938888888888,664.741,1305,1563,1017,-164.50639423860412
2025-06-07 11:45:11.400,60240.468,51.70063888888889,9.207938888888888,664.691,1230,1478,1020,-164.6823942386036
2025-06-07 11:45:11.500,60240.468,51.70064166666667,9.207941666666667,664.627,1131,1484,1022,-164.6823942386036
2025-06-07 11:45:11.600,60240.568,51.70064166666667,9.207941666666667,664.566,1128,1526,1044,-164.58239423860505
2025-06-07 11:45:11.700,60240.707,51.70064166666667,9.207941666666667,664.508,1134,1515,1043,-164.4433942386022
2025-06-07 11:45:11.800,60240.578,51.70064444444445,9.207944444444443,664.378,1207,1492,1055,-164.572394238603
2025-06-07 11:45:11.900,60240.365,51.70064444444445,9.207944444444443,664.319,1329,1570,1045,-164.7853942386064
2025-06-07 11:45:12.000,60240.49,51.70064444444445,9.207944444444443,664.319,1329,1538,1063,-164.6603942386064
2025-06-07 11:45:12.100,60240.688,51.70064722222222,9.207944444444443,664.257,1331,1502,1059,-164.46239423860243
2025-06-07 11:45:12.200,60240.688,51.70064722222222,9.207944444444443,664.2,1302,1547,1114,-164.46239423860243
2025-06-07 11:45:12.300,60240.698,51.70064722222222,9.207947222222222,664.143,1221,1446,1027,-164.45239423860767
2025-06-07 11:45:12.400,60240.981,51.70065,9.207947222222222,664.02,1133,1501,1037,-164.16939423860458
2025-06-07 11:45:12.500,60241.144,51.70065,9.207947222222222,663.964,1130,1489,1021,-164.00639423860412
2025-06-07 11:45:12.600,60240.74,51.70065,9.207947222222222,663.899,1161,1538,1047,-164.4103942386064
2025-06-07 11:45:12.700,60240.447,51.70065277777778,9.207947222222222,663.839,1250,1510,1086,-164.70339423860423
2025-06-07 11:45:12.800,60240.551,51.70065277777778,9.20795,663.778,1342,1565,1036,-164.59939423860487
2025-06-07 11:45:12.900,60240.904,51.70065277777778,9.20795,663.778,1334,1528,1060,-164.24639423860208
2025-06-07 11:45:13.000,60240.862,51.70065277777778,9.20795,663.668,1298,1538,1056,-164.28839423860336
2025-06-07 11:45:13.100,60240.503,51.70065555555556,9.20795,663.61,1278,1508,1072,-164.64739423860738
2025-06-07 11:45:13.200,60240.684,51.70065555555556,9.20795,663.61,1141,1484,1045,-164.46639423860324
2025-06-07 11:45:13.300,60241.142,51.70065555555556,9.207952777777777,663.491,1130,1485,1033,-164.00839423860452
2025-06-07 11:45:13.400,60241.453,51.70065555555556,9.207952777777777,663.439,1172,1417,986,-163.697394238603
2025-06-07 11:45:13.500,60241.217,51.70065555555556,9.207952777777777,663.439,1263,1511,1075,-163.93339423860743
2025-06-07 11:45:13.600,60240.908,51.70065833333334,9.207952777777777,663.381,1336,1506,1084,-164.24239423860126
2025-06-07 11:45:13.700,60241.01,51.70065833333334,9.207952777777777,663.317,1336,1566,1029,-164.1403942386023
2025-06-07 11:45:13.800,60241.617,51.70066111111112,9.207955555555555,663.2,1282,1487,1050,-163.53339423860598
2025-06-07 11:45:13.900,60241.67,51.70066111111112,9.207955555555555,663.2,1149,1507,1037,-163.4803942386061
2025-06-07 11:45:14.000,60240.931,51.70066111111112,9.207955555555555,663.074,1131,1508,1058,-164.2193942386075
2025-06-07 11:45:14.100,60240.543,51.70066111111112,9.207955555555555,663.074,1126,1489,1010,-164.6073942386065
2025-06-07 11:45:14.200,60241.079,51.70066111111112,9.207958333333334,663.011,1191,1443,1016,-164.07139423860644
2025-06-07 11:45:14.300,60241.722,51.70066388888889,9.207958333333334,662.949,1314,1578,1038,-163.42839423860278
2025-06-07 11:45:14.400,60241.632,51.70066388888889,9.207958333333334,662.898,1329,1511,1089,-163.51839423860656
2025-06-07 11:45:14.500,60240.895,51.70066388888889,9.207958333333334,662.84,1329,1523,1067,-164.25539423860755
2025-06-07 11:45:14.600,60240.744,51.70066666666667,9.20796111111111,662.777,1253,1540,1086,-164.40639423860557
2025-06-07 11:45:14.700,60241.563,51.70066666666667,9.20796111111111,662.713,1143,1496,1058,-163.58739423860243
2025-06-07 11:45:14.800,60242.245,51.70066944444445,9.20796111111111,662.611,1130,1487,1053,-162.90539423860173
2025-06-07 11:45:14.900,60241.711,51.70066944444445,9.207963888888889,662.547,1169,1578,1024,-163.43939423860138
2025-06-07 11:45:15.000,60240.775,51.70066944444445,9.207963888888889,662.49,1245,1486,1060,-164.3753942386029
2025-06-07 11:45:15.100,60241.266,51.70066944444445,9.207963888888889,662.44,1301,1507,1048,-163.8843942386011
2025-06-07 11:45:15.200,60242.473,51.700672222222224,9.207963888888889,662.385,1328,1516,1065,-162.6773942386062
2025-06-07 11:45:15.300,60242.653,51.700672222222224,9.207963888888889,662.385,1311,1551,1086,-162.49739423860592
2025-06-07 11:45:15.400,60241.739,51.700672222222224,9.207963888888889,662.341,1227,1467,1000,-163.41139423860295
2025-06-07 11:45:15.500,60241.18,51.700672222222224,9.207963888888889,662.285,1143,1516,1034,-163.97039423860406
2025-06-07 11:45:15.600,60241.675,51.700672222222224,9.207966666666666,662.225,1124,1483,1008,-163.47539423860144
2025-06-07 11:45:15.700,60242.503,51.700675000000004,9.207966666666666,662.18,1185,1435,1010,-162.64739423860738
2025-06-07 11:45:15.800,60242.574,51.700675000000004,9.207966666666666,662.075,1287,1517,1054,-162.57639423860383
2025-06-07 11:45:15.900,60242.103,51.700675000000004,9.207966666666666,662.075,1335,1525,1092,-163.04739423860156
2025-06-07 11:45:16.000,60241.698,51.700677777777784,9.207969444444444,661.959,1332,1526,1071,-163.45239423860767
2025-06-07 11:45:16.100,60242.09,51.700677777777784,9.207969444444444,661.959,1297,1526,1062,-163.06039423860784
2025-06-07 11:45:16.200,60242.879,51.700677777777784,9.207969444444444,661.907,1201,1471,1021,-162.27139423860353
2025-06-07 11:45:16.300,60243.221,51.700677777777784,9.207969444444444,661.846,1126,1485,1049,-161.92939423860662
2025-06-07 11:45:16.400,60242.542,51.70068055555556,9.207972222222223,661.783,1144,1504,1051,-162.60839423860307
2025-06-07 11:45:16.500,60241.776,51.70068055555556,9.207972222222223,661.67,1227,1463,1070,-163.37439423860633
2025-06-07 11:45:16.600,60242.045,51.70068055555556,9.207972222222223,661.67,1333,1540,1103,-163.1053942386061
2025-06-07 11:45:16.700,60242.667,51.70068333333334,9.207972222222223,661.602,1333,1516,1066,-162.48339423860307
2025-06-07 11:45:16.800,60243.09,51.70068333333334,9.207975,661.482,1292,1551,1103,-162.06039423860784
2025-06-07 11:45:16.900,60242.384,51.70068333333334,9.207975,661.482,1188,1451,1060,-162.76639423860615
2025-06-07 11:45:17.000,60241.667,51.70068611111111,9.207975,661.423,1131,1509,1054,-163.48339423860307
2025-06-07 11:45:17.100,60242.018,51.70068611111111,9.207975,661.359,1126,1470,1018,-163.13239423860796
2025-06-07 11:45:17.200,60242.829,51.70068611111111,9.207977777777778,661.286,1177,1409,1021,-162.32139423860644
2025-06-07 11:45:17.300,60243.203,51.70068611111111,9.207977777777778,661.234,1265,1511,1071,-161.947394238603
2025-06-07 11:45:17.400,60242.548,51.70068888888889,9.207977777777778,661.171,1340,1545,1107,-162.60239423860185
2025-06-07 11:45:17.500,60242.119,51.70068888888889,9.207977777777778,661.102,1334,1547,1092,-163.03139423860557
2025-06-07 11:45:17.600,60242.501,51.70069166666667,9.207977777777778,660.979,1268,1545,1079,-162.64939423860778
2025-06-07 11:45:17.700,60243.382,51.70069166666667,9.207980555555555,660.926,1144,1511,1080,-161.76839423860656
2025-06-07 11:45:17.800,60243.311,51.70069166666667,9.207980555555555,660.867,1125,1502,1038,-161.83939423860284
2025-06-07 11:45:17.900,60242.944,51.70069166666667,9.207980555555555,660.814,1140,1518,1051,-162.2063942386012
2025-06-07 11:45:18.000,60243.029,51.700694444444444,9.207980555555555,660.755,1226,1486,1046,-162.12139423860208
2025-06-07 11:45:18.100,60243.633,51.700694444444444,9.207983333333333,660.702,1292,1534,1081,-161.51739423860272
2025-06-07 11:45:18.200,60243.729,51.700694444444444,9.207983333333333,660.654,1346,1550,1104,-161.421394238605
2025-06-07 11:45:18.300,60243.537,51.700694444444444,9.207983333333333,660.654,1318,1584,1045,-161.61339423860773
2025-06-07 11:45:18.400,60243.736,51.700694444444444,9.207983333333333,660.604,1195,1478,1011,-161.4143942386072
2025-06-07 11:45:18.500,60244.139,51.700697222222225,9.207983333333333,660.542,1123,1446,1016,-161.0113942386015
2025-06-07 11:45:18.600,60244.144,51.700697222222225,9.207986111111111,660.508,1140,1528,1042,-161.00639423860412
2025-06-07 11:45:18.700,60244.099,51.700700000000005,9.207986111111111,660.419,1203,1461,1052,-161.05139423860237
2025-06-07 11:45:18.800,60244.337,51.700700000000005,9.207988888888888,660.378,1317,1571,1043,-160.81339423860481
2025-06-07 11:45:19.000,60244.755,51.700700000000005,9.207988888888888,660.378,1345,1550,1088,-160.39539423860697
2025-06-07 11:45:19.100,60244.868,51.700700000000005,9.207988888888888,660.295,1321,1496,1074,-160.28239423860214
2025-06-07 11:45:19.200,60244.834,51.70070277777778,9.207988888888888,660.254,1254,1526,1050,-160.3163942386018
2025-06-07 11:45:19.300,60244.909,51.70070277777778,9.207991666666667,660.214,1138,1507,1061,-160.2413942386047
2025-06-07 11:45:19.400,60245.055,51.70070277777778,9.207991666666667,660.169,1128,1511,1060,-160.09539423860406
2025-06-07 11:45:19.500,60244.954,51.70070555555556,9.207991666666667,660.131,1168,1545,1066,-160.19639423860644
2025-06-07 11:45:19.600,60244.927,51.70070555555556,9.207991666666667,660.095,1296,1534,1082,-160.22339423860103
2025-06-07 11:45:19.700,60245.499,51.70070555555556,9.207991666666667,660.05,1334,1541,1089,-159.65139423860091
2025-06-07 11:45:19.800,60245.929,51.70070555555556,9.207991666666667,660.007,1314,1547,1087,-159.2213942386079
2025-06-07 11:45:19.900,60245.699,51.70070833333334,9.207994444444445,659.969,1239,1493,1069,-159.45139423860383
2025-06-07 11:45:20.000,60245.171,51.70070833333334,9.207994444444445,659.969,1128,1505,1050,-159.97939423860225
2025-06-07 11:45:20.100,60245.295,51.70070833333334,9.207994444444445,659.87,1133,1510,1086,-159.8553942386061
2025-06-07 11:45:20.200,60246.103,51.70070833333334,9.207994444444445,659.87,1139,1484,1010,-159.04739423860156
2025-06-07 11:45:20.300,60246.494,51.70070833333334,9.207994444444445,659.835,1241,1479,1027,-158.65639423860557
2025-06-07 11:45:20.400,60246.058,51.70071111111111,9.207997222222222,659.737,1344,1539,1080,-159.09239423860708
2025-06-07 11:45:20.500,60245.484,51.70071111111111,9.207997222222222,659.737,1334,1523,1082,-159.6663942386076
2025-06-07 11:45:20.600,60245.792,51.70071111111111,9.207997222222222,659.693,1280,1519,1047,-159.35839423860307
2025-06-07 11:45:20.700,60246.319,51.70071388888889,9.207997222222222,659.655,1169,1548,1097,-158.8313942386012
2025-06-07 11:45:20.800,60246.59,51.70071388888889,9.208,659.605,1120,1519,1022,-158.56039423860784
2025-06-07 11:45:20.900,60246.195,51.70071388888889,9.208,659.517,1149,1514,1023,-158.95539423860464
2025-06-07 11:45:21.000,60245.909,51.70071666666667,9.208,659.475,1238,1493,1064,-159.2413942386047
2025-06-07 11:45:21.100,60246.29,51.70071666666667,9.208002777777777,659.429,1300,1509,1078,-158.86039423860348
2025-06-07 11:45:21.200,60246.999,51.70071666666667,9.208002777777777,659.379,1329,1540,1084,-158.15139423860091
2025-06-07 11:45:21.300,60247.155,51.700719444444445,9.208002777777777,659.341,1317,1568,1014,-157.9953942386055
2025-06-07 11:45:21.400,60246.605,51.700719444444445,9.208002777777777,659.341,1205,1466,1010,-158.54539423860115
2025-06-07 11:45:21.500,60246.473,51.700719444444445,9.208002777777777,659.301,1124,1469,1016,-158.6773942386062
2025-06-07 11:45:21.600,60247.253,51.700719444444445,9.208005555555555,659.26,1140,1511,1077,-157.89739423860738
2025-06-07 11:45:21.700,60247.766,51.700722222222225,9.208005555555555,659.217,1252,1486,1032,-157.3843942386011
2025-06-07 11:45:21.800,60247.127,51.700722222222225,9.208005555555555,659.182,1328,1530,1066,-158.02339423860394
2025-06-07 11:45:21.900,60246.35,51.700722222222225,9.208005555555555,659.1,1327,1509,1090,-158.8003942386058
2025-06-07 11:45:22.000,60246.416,51.700722222222225,9.208005555555555,659.1,1245,1488,1064,-158.7343942386069
2025-06-07 11:45:22.100,60247.422,51.700725000000006,9.208008333333334,659.013,1158,1529,1053,-157.7283942386057
2025-06-07 11:45:22.200,60248.247,51.700725000000006,9.208008333333334,659.013,1119,1511,1059,-156.90339423860132
2025-06-07 11:45:22.300,60248.127,51.700725000000006,9.208008333333334,658.967,1176,1428,979,-157.02339423860394
2025-06-07 11:45:22.400,60247.455,51.70072777777778,9.208008333333334,658.919,1301,1513,1027,-157.6953942386026
2025-06-07 11:45:22.500,60247.793,51.70072777777778,9.208008333333334,658.877,1331,1511,1097,-157.3573942386065
2025-06-07 11:45:22.600,60248.69,51.70072777777778,9.208008333333334,658.826,1306,1510,1067,-156.46039423860202
